TrainerID,Name,Surname,BirthDate,Gender,TrainerType,CountryID,FitnessCenterID
3001,Franciskus,Roser,1993/09/30,N,Glavni,949,254
3002,Xena,Geeves,1991/03/21,D,Glavni,107,564
3003,Harcourt,Parman,2009/07/18,D,Pomocni,390,693
3004,Cherilyn,Yewen,2010/06/03,D,Glavni,180,3
3005,Jacob,Berrycloth,1982/10/26,N,Glavni,254,507
3006,Jeniffer,Cullabine,1999/03/24,N,Pomocni,919,732
3007,Birgit,Licence,1996/10/12,D,Glavni,309,181
3008,Susann,Megroff,2001/09/01,N,Pomocni,288,303
3009,Efren,Cheal,1998/08/20,D,Pomocni,74,865
3010,Ganny,Caughan,1994/06/11,D,Glavni,461,452
3011,Adriana,Bullcock,1997/09/06,D,Pomocni,664,7
3012,Randa,Hender,2004/11/01,N,Pomocni,204,511
3013,Birk,Nortunen,1990/03/12,N,Pomocni,672,811
3014,Addison,Gleder,2010/04/19,D,Pomocni,315,263
3015,Had,Nears,1981/03/11,N,Glavni,219,178
3016,Pasquale,Stanyland,1991/02/23,D,Glavni,636,822
3017,Creigh,Collington,1984/01/28,N,Pomocni,81,241
3018,Ganny,Laurencot,2008/12/05,D,Pomocni,495,471
3019,Haleigh,Andretti,1995/06/10,D,Pomocni,389,497
3020,Devin,Kissell,2000/02/27,N,Glavni,95,882
3021,Suzi,Chattell,2001/12/30,N,Glavni,654,189
3022,Lynnea,Raff,1999/05/26,D,Pomocni,281,604
3023,Jocelin,Grishkov,1990/11/29,D,Glavni,761,974
3024,Sherwynd,Staynes,1981/07/19,N,Pomocni,90,654
3025,Loni,Klimowicz,1982/03/27,D,Glavni,568,504
3026,Arv,Letrange,1998/01/03,D,Pomocni,906,151
3027,Verla,Carabine,2008/03/01,N,Glavni,148,611
3028,Della,Howcroft,2002/06/28,N,Glavni,712,260
3029,Adair,Nelligan,1992/09/06,D,Glavni,638,28
3030,Samantha,Vanelli,2002/10/11,D,Glavni,861,327
3031,Nelly,Yushkin,1987/02/01,D,Pomocni,282,941
3032,Neel,Whittock,2005/08/25,D,Pomocni,320,701
3033,Sherman,Labrum,2000/12/16,D,Pomocni,323,669
3034,Marielle,Bartolacci,1994/08/13,D,Glavni,258,464
3035,Georgie,Ping,1989/05/31,D,Glavni,719,584
3036,Wade,De Cruce,1983/06/30,D,Pomocni,138,854
3037,Wallis,Barnwell,1998/09/18,D,Glavni,615,13
3038,Mariska,Constantine,2010/04/17,N,Glavni,222,236
3039,Adeline,Owbridge,2010/01/24,N,Pomocni,674,255
3040,Griselda,Neely,1996/12/31,D,Glavni,299,38
